CD,T1-1.0 m/s-VLM1-Inviscid, , 
   0.02655356,    -0.8101899, , 
   0.02402437,    -0.7704922, , 
   0.02161303,    -0.7306707, , 
   0.01932138,    -0.6907318, , 
   0.01715119,    -0.6506817, , 
   0.01510409,    -0.6105267, , 
   0.01318167,     -0.570273, , 
   0.01138538,    -0.5299271, , 
  0.009716599,    -0.4894954, , 
  0.008176596,    -0.4489843, , 
  0.006766546,    -0.4084004, , 
  0.005487525,    -0.3677501, , 
  0.004340509,      -0.32704, , 
   0.00332637,    -0.2862766, , 
  0.002445882,    -0.2454667, , 
  0.001699716,    -0.2046168, , 
   0.00108844,    -0.1637335, , 
 0.0006125196,    -0.1228235, , 
 0.0002723173,   -0.08189347, , 
  6.80923e-05,   -0.04095008, , 
            0,             0, , 
  6.80923e-05,    0.04095008, , 
 0.0002723173,    0.08189347, , 
 0.0006125196,     0.1228235, , 
   0.00108844,     0.1637335, , 
  0.001699716,     0.2046168, , 
  0.002445882,     0.2454667, , 
   0.00332637,     0.2862766, , 
  0.004340509,       0.32704, , 
  0.005487525,     0.3677501, , 
  0.006766546,     0.4084004, , 
  0.008176596,     0.4489843, , 
  0.009716599,     0.4894954, , 
   0.01138538,     0.5299271, , 
   0.01318167,      0.570273, , 
   0.01510409,     0.6105267, , 
   0.01715119,     0.6506817, , 
   0.01932138,     0.6907318, , 
   0.02161303,     0.7306707, , 
   0.02402437,     0.7704922, , 
   0.02655356,     0.8101899, , 

